design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_selections_per_injected_packet,lateral_selections_per_received_packet,escape_activations_per_received_packet
340_adaptive,adaptive,3,4,diagonal_3d,0.950,176341,0.136799,3597.300960,54.431312,3651.732272,4.057201,0,0,0.211213
340_adaptive,adaptive,3,4,diagonal_3d,0.975,171290,0.132854,3950.823461,58.027086,4008.850547,4.060258,0,0,0.212269
340_adaptive,adaptive,3,4,diagonal_3d,1.000,162090,0.125645,3985.186947,59.999465,4045.186413,4.060929,0,0,0.217595
340_adaptive,adaptive,3,4,tornado_x_3d,0.025,31877,0.0248797,2.000031,9.079916,11.079947,3.011995,0,0,0.0028889
340_adaptive,adaptive,3,4,tornado_x_3d,0.050,64179,0.0500922,2.000546,9.293443,11.293989,3.079104,0,0,0.0179513
340_adaptive,adaptive,3,4,tornado_x_3d,0.075,95843,0.0748063,2.002277,9.800004,11.802281,3.204539,0,0,0.0467875
340_adaptive,adaptive,3,4,tornado_x_3d,0.100,128013,0.0998656,2.022116,14.273571,16.295686,3.253137,0,0,0.0551835
340_adaptive,adaptive,3,4,tornado_x_3d,0.125,93772,0.072743,95.631161,39.953582,135.584743,3.181074,0,0,0.0704965
340_adaptive,adaptive,3,4,tornado_x_3d,0.150,16046,0.0118367,1354.085407,372.954590,1727.039997,3.840143,0,0,0.414164
340_adaptive,adaptive,3,4,tornado_x_3d,0.175,10698,0.00766094,2453.689374,600.371201,3054.060575,4.245564,0,0,0.643076
340_adaptive,adaptive,3,4,tornado_x_3d,0.200,10194,0.00726406,2760.631319,633.955367,3394.586685,4.303399,0,0,0.669606
340_adaptive,adaptive,3,4,tornado_x_3d,0.225,9871,0.00701172,2969.066072,673.159777,3642.225850,4.361337,0,0,0.700501
340_adaptive,adaptive,3,4,tornado_x_3d,0.250,9499,0.00672188,3173.966295,681.946769,3855.913064,4.400395,0,0,0.72106
340_adaptive,adaptive,3,4,tornado_x_3d,0.275,9518,0.0067375,3283.803224,685.054035,3968.857259,4.413033,0,0,0.725649
340_adaptive,adaptive,3,4,tornado_x_3d,0.300,9495,0.00671953,3410.505290,690.587606,4101.092896,4.448436,0,0,0.743169
340_adaptive,adaptive,3,4,tornado_x_3d,0.325,9337,0.00659609,3473.865806,686.882151,4160.747957,4.464053,0,0,0.750089
340_adaptive,adaptive,3,4,tornado_x_3d,0.350,9270,0.00654531,3504.460850,702.929697,4207.390547,4.422535,0,0,0.73884
340_adaptive,adaptive,3,4,tornado_x_3d,0.375,9253,0.00653203,3590.822748,702.482478,4293.305227,4.455448,0,0,0.753977
340_adaptive,adaptive,3,4,tornado_x_3d,0.400,9297,0.00656406,3626.298976,698.564985,4324.863961,4.452392,0,0,0.752797
340_adaptive,adaptive,3,4,tornado_x_3d,0.425,9123,0.00642891,3674.893912,713.367724,4388.261636,4.450966,0,0,0.751246
340_adaptive,adaptive,3,4,tornado_x_3d,0.450,9161,0.00645937,3725.942429,700.334906,4426.277334,4.461659,0,0,0.758224
340_adaptive,adaptive,3,4,tornado_x_3d,0.475,9198,0.00648672,3738.797543,700.234614,4439.032157,4.443575,0,0,0.750693
340_adaptive,adaptive,3,4,tornado_x_3d,0.500,9229,0.00651016,3761.292572,721.625945,4482.918517,4.452538,0,0,0.75363
340_adaptive,adaptive,3,4,tornado_x_3d,0.525,9199,0.00648672,3819.057208,675.434903,4494.492111,4.461038,0,0,0.759605
340_adaptive,adaptive,3,4,tornado_x_3d,0.550,9091,0.00640312,3838.957784,694.544046,4533.501830,4.465959,0,0,0.759151
340_adaptive,adaptive,3,4,tornado_x_3d,0.575,9151,0.00645,3870.958939,708.358891,4579.317829,4.459545,0,0,0.758479
340_adaptive,adaptive,3,4,tornado_x_3d,0.600,9096,0.00641016,3858.420353,722.678611,4581.098964,4.472761,0,0,0.762218
340_adaptive,adaptive,3,4,tornado_x_3d,0.625,9130,0.00643437,3896.401651,696.550146,4592.951797,4.452768,0,0,0.755828
340_adaptive,adaptive,3,4,tornado_x_3d,0.650,9170,0.00646328,3891.526049,701.806237,4593.332286,4.462952,0,0,0.76248
340_adaptive,adaptive,3,4,tornado_x_3d,0.675,9261,0.00653516,3900.728870,698.762702,4599.491572,4.478900,0,0,0.760311
340_adaptive,adaptive,3,4,tornado_x_3d,0.700,9066,0.00638281,3908.852754,710.518605,4619.371359,4.466707,0,0,0.765973
340_adaptive,adaptive,3,4,tornado_x_3d,0.725,9211,0.00649609,3940.645821,697.962598,4638.608419,4.471197,0,0,0.762357
340_adaptive,adaptive,3,4,tornado_x_3d,0.750,9104,0.00641328,3940.193933,681.849677,4622.043611,4.457059,0,0,0.762699
340_adaptive,adaptive,3,4,tornado_x_3d,0.775,9163,0.00645937,3929.876996,724.398162,4654.275157,4.480527,0,0,0.767417
340_adaptive,adaptive,3,4,tornado_x_3d,0.800,9139,0.00644141,3965.029351,701.843784,4666.873135,4.444148,0,0,0.756822
340_adaptive,adaptive,3,4,tornado_x_3d,0.825,8992,0.00632266,3951.497220,696.307550,4647.804770,4.452490,0,0,0.761028
340_adaptive,adaptive,3,4,tornado_x_3d,0.850,9244,0.00652344,3973.063473,705.838802,4678.902275,4.454611,0,0,0.756048
340_adaptive,adaptive,3,4,tornado_x_3d,0.875,9191,0.00648047,3952.812899,685.927547,4638.740446,4.470524,0,0,0.761061
340_adaptive,adaptive,3,4,tornado_x_3d,0.900,9104,0.00641328,3979.343404,680.237544,4659.580948,4.431478,0,0,0.754538
340_adaptive,adaptive,3,4,tornado_x_3d,0.925,9140,0.00643984,3979.946015,700.242145,4680.188160,4.472037,0,0,0.770351
340_adaptive,adaptive,3,4,tornado_x_3d,0.950,9213,0.0065,3979.325962,703.682452,4683.008413,4.457572,0,0,0.755769
340_adaptive,adaptive,3,4,tornado_x_3d,0.975,9208,0.00649453,3984.492482,691.103452,4675.595934,4.439071,0,0,0.751353
340_adaptive,adaptive,3,4,tornado_x_3d,1.000,9236,0.00651641,3972.310035,686.233785,4658.543820,4.448268,0,0,0.755665
