design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
340_adaptive,adaptive,3,4,bit_complement,0.150,192279,0.150058,2.018519,10.806517,12.825036,3.697882,0,0.0297848,0.0298166,0.998934
340_adaptive,adaptive,3,4,bit_complement,0.175,224176,0.174945,2.032117,11.038954,13.071072,3.727592,0,0.0430376,0.0430851,0.998898
340_adaptive,adaptive,3,4,bit_complement,0.200,256078,0.19983,2.052502,11.371402,13.423904,3.753431,0,0.0554089,0.055473,0.998844
340_adaptive,adaptive,3,4,bit_complement,0.225,288187,0.224862,2.092977,11.978647,14.071624,3.764088,0,0.0645241,0.0646057,0.998737
340_adaptive,adaptive,3,4,bit_complement,0.250,273705,0.213269,197.696118,20.801347,218.497465,3.788021,0,0.0725708,0.0727625,0.997366
340_adaptive,adaptive,3,4,bit_complement,0.275,297958,0.232189,349.695577,21.252771,370.948348,3.767438,0,0.0653716,0.0655379,0.997463
340_adaptive,adaptive,3,4,bit_complement,0.300,308558,0.240441,458.964034,21.999987,480.964021,3.783457,0,0.0748255,0.0750185,0.997427
340_adaptive,adaptive,3,4,bit_complement,0.325,331482,0.258311,505.182529,21.622179,526.804708,3.778806,0,0.0755395,0.0757324,0.997454
340_adaptive,adaptive,3,4,bit_complement,0.350,234399,0.181934,738.019457,30.501980,768.521436,3.862227,0,0.115892,0.11665,0.993503
340_adaptive,adaptive,3,4,bit_complement,0.375,184261,0.142747,1155.828187,46.658908,1202.487095,3.964617,0,0.160528,0.161885,0.991615
340_adaptive,adaptive,3,4,bit_complement,0.400,149670,0.1157,1723.783674,52.856944,1776.640618,3.999946,0,0.207503,0.209709,0.989484
340_adaptive,adaptive,3,4,bit_complement,0.425,151052,0.116775,1784.738560,55.465927,1840.204486,3.920875,0,0.197197,0.199281,0.98954
340_adaptive,adaptive,3,4,bit_complement,0.450,146977,0.113578,2146.302277,53.357009,2199.659286,3.963448,0,0.218857,0.221262,0.989134
340_adaptive,adaptive,3,4,bit_complement,0.475,141344,0.109202,2140.907926,61.661058,2202.568984,3.984726,0,0.208555,0.21089,0.988928
340_adaptive,adaptive,3,4,bit_complement,0.500,136426,0.105334,2382.150281,62.882605,2445.032887,3.974923,0,0.223323,0.225971,0.988279
340_adaptive,adaptive,3,4,bit_complement,0.525,125217,0.0966602,2586.152386,74.184845,2660.337232,3.950689,0,0.255085,0.258161,0.988085
340_adaptive,adaptive,3,4,bit_complement,0.550,148860,0.115068,2395.024001,55.043133,2450.067134,3.978661,0,0.198522,0.200642,0.989433
340_adaptive,adaptive,3,4,bit_complement,0.575,141041,0.109009,2591.677928,64.197039,2655.874967,3.908336,0,0.206224,0.208455,0.989294
340_adaptive,adaptive,3,4,bit_complement,0.600,137504,0.106209,3010.724917,58.425648,3069.150565,3.993144,0,0.233586,0.236259,0.988684
340_adaptive,adaptive,3,4,bit_complement,0.625,151517,0.117154,2702.614076,57.323226,2759.937302,3.975100,0,0.205363,0.207499,0.989704
340_adaptive,adaptive,3,4,bit_complement,0.650,126604,0.0976188,3007.172626,66.452966,3073.625592,3.988564,0,0.241501,0.244694,0.986951
340_adaptive,adaptive,3,4,bit_complement,0.675,113717,0.0875664,2885.985172,62.401044,2948.386216,4.007468,0,0.258449,0.262212,0.985649
340_adaptive,adaptive,3,4,bit_complement,0.700,125212,0.0965258,2728.585700,56.987714,2785.573414,3.995006,0,0.243435,0.246704,0.98675
340_adaptive,adaptive,3,4,bit_complement,0.725,124707,0.096168,2815.483464,68.283098,2883.766562,4.023055,0,0.258117,0.261497,0.987074
340_adaptive,adaptive,3,4,bit_complement,0.750,137750,0.106385,3179.446689,60.467060,3239.913749,3.982089,0,0.224167,0.226763,0.988552
